area	ward	square	population
Академический	ЮЗАО	5.83	114025
Алексеевский	СВАО	5.29	78119
Алтуфьевский	СВАО	3.25	55671
Арбат	ЦАО	2.11	35675
Аэропорт	САО	4.58	79757
Бабушкинский	СВАО	5.07	67099
Басманный	ЦАО	8.37	107533
Беговой	САО	5.56	42381
Бескудниковский	САО	3.3	78598
Бибирево	СВАО	6.45	160565
Бирюлёво Восточное	ЮАО	14.77	156438
Бирюлёво Западное	ЮАО	8.51	85883
Богородское	ВАО	10.24	108757
Братеево	ЮАО	7.63	102794
Бутырский	СВАО	5.04	72421
Вешняки	ВАО	10.72	119492
Внуково	ЗАО	17.42	27528
Войковский	САО	6.61	71241
Восточное Дегунино	САО	3.77	101275
Восточное Измайлово	ВАО	3.85	74577
Восточный	ВАО	3.14	12822
Выхино-Жулебино	ЮВАО	14.97	241109
Гагаринский	ЮЗАО	5.5	81021
Головинский	САО	8.93	103419
Гольяново	ВАО	14.99	165299
Даниловский	ЮАО	12.6	104850
Дмитровский	САО	7.29	102459
Донской	ЮАО	5.73	52861
Дорогомилово	ЗАО	7.95	78008
Замоскворечье	ЦАО	4.32	55132
Западное Дегунино	САО	7.53	84496
Зюзино	ЮЗАО	5.45	124093
Зябликово	ЮАО	4.38	133707
Ивановское	ВАО	10.19	126198
Измайлово	ВАО	15.24	107158
Капотня	ЮВАО	8.06	32808
Коньково	ЮЗАО	7.18	151754
Коптево	САО	5.38	102758
Косино-Ухтомский	ВАО	15.05	88817
Котловка	ЮЗАО	3.94	64481
Красносельский	ЦАО	4.96	45719
Крылатское	ЗАО	12.04	82959
Крюково	ЗелАО	10.49	104185
Кузьминки	ЮВАО	8.15	140966
Кунцево	ЗАО	16.56	152829
Куркино	СЗАО	7.9	31975
Левобережный	САО	855 94
Лефортово	ЮВАО	9.06	102844
Лианозово	СВАО	5.79	85402
Ломоносовский	ЮЗАО	3.34	88335
Лосиноостровский	СВАО	5.54	82733
Люблино	ЮВАО	17.41	179247
Марфино	СВАО	2.97	36407
Марьина Роща	СВАО	4.68	63272
Марьино	ЮВАО	11.91	267668
Матушкино	ЗелАО	4.38	42471
Метрогородок	ВАО	27.57	39126
Мещанский	ЦАО	4.6	56818
Митино	СЗАО	12.67	198872
Можайский	ЗАО	10.73	145699
Молжаниновский	САО	21.78	12359
Москворечье-Сабурово	ЮАО	9.3	89130
Нагатино-Садовники	ЮАО	8.17	83046
Нагатинский Затон	ЮАО	9.8	120624
Нагорный	ЮАО	5.42	78098
Некрасовка	ЮВАО	ноя.47	104862
Нижегородский	ЮВАО	7.57	49588
Новогиреево	ВАО	4.45	100386
Новокосино	ВАО	3.6	106668
Ново-Переделкино	ЗАО	8.48	123113
Обручевский	ЮЗАО	6.11	90212
Орехово-Борисово Северное	ЮАО	7.67	127828
Орехово-Борисово Южное	ЮАО	6.94	146688
Останкинский	СВАО	12.46	65308
Отрадное	СВАО	10.18	187498
Очаково-Матвеевское	ЗАО	17.54	130515
Перово	ВАО	9.73	137362
Печатники	ЮВАО	17.89	90852
Покровское-Стрешнево	СЗАО	12.9	66050
Преображенское	ВАО	5.61	88453
Пресненский	ЦАО	11.7	125873
Проспект Вернадского	ЗАО	4.65	66864
Раменки	ЗАО	18.54	150707
Ростокино	СВАО	3.54	51974
Рязанский	ЮВАО	6.49	108199
Савёлки	ЗелАО	8.13	37470
Савёловский	САО	2.7	59636
Свиблово	СВАО	4.41	60919
Северное Бутово	ЮЗАО	9.13	96407
Северное Измайлово	ВАО	4.2	85063
Северное Медведково	СВАО	5.66	129750
Северное Тушино	СЗАО	9.4	171292
Северный	СВАО	10.29	54305
Силино	ЗелАО	10.4	40848
Сокол	САО	3.72	59185
Соколиная Гора	ВАО	7.84	92999
Сокольники	ВАО	10.28	59769
Солнцево	ЗАО	11.29	125645
Старое Крюково	ЗелАО	3.81	31801
Строгино	СЗАО	16.84	162932
Таганский	ЦАО	8.01	135659
Тверской	ЦАО	7.27	76387
Текстильщики	ЮВАО	5.92	102088
Тёплый Стан	ЮЗАО	7.5	133135
Тимирязевский	САО	10.43	82844
Тропарёво-Никулино	ЗАО	11.27	127940
Филёвский Парк	ЗАО	9.62	111703
Фили-Давыдково	ЗАО	6.96	113643
Хамовники	ЦАО	10.08	105113
Ховрино	САО	5.73	92287
Хорошёво-Мнёвники	СЗАО	17.18	180431
Хорошёвский	САО	9.88	75452
Царицыно	ЮАО	8.43	123922
Черёмушки	ЮЗАО	5.52	107303
Чертаново Северное	ЮАО	5.4	111115
Чертаново Центральное	ЮАО	6.52	113235
Чертаново Южное	ЮАО	9.38	159152
Щукино	СЗАО	7.69	108481
Южное Бутово	ЮЗАО	25.54	204779
Южное Медведково	СВАО	3.88	86048
Южное Тушино	СЗАО	7.94	111116
Южнопортовый	ЮВАО	4.53	72026
Якиманка	ЦАО	4.8	28349
Ярославский	СВАО	7.99	100177
Ясенево	ЮЗАО	25.37	176358
